Review,sentiment,topic
"Оправдал ожидания. Брал ""серый"" вариант, без аттестации Роскомнадзором.,",Нейтральный,Опыт покупки
"В целом модель шикарная, очень кайфую,",Позитивный,Общая оценка модели
"Аппарат у меня больше года, и я очень им доволен. Сборка отличная, ничего не болтается, не шатается, царапин нет. Аккумулятор держит 1,5-2 дня при умеренном потреблении. Звуком в наушниках я просто наслаждаюсь :) Аппарат не глючит, не лагает, оперативки в 3 гига на всё хватает. Так что смартом очень доволен.,",Позитивный,Оценка качества и функциональности смартфона
"Брал на смену Samsung Galaxy Note 4, ибо надоел. Здесь гораздо больше функций, дисплей такой же хороший, скорость выше, звук лучше, цена меньше, дизайн приятней, вес меньше, не н Нюансы: Камера на 4-ку, если много фоткаете, проходите мимо Флешку после Самсунга пришлось форматировать Гугл апсы и плей маркет не сразу нашел как поставить, заморочки Клавиатура стоковая полный неуд, поставил Gboard Батарея на 1-1.5 дня, не нашел как отключить быструю зарядку, на всякий случай лучше заказать с али доп. батарею на шлейфе,",Смешанный,Оценка устройства
"В целом аппарат неплохой, пользуюсь без малого 2 года и за исключением вышеописанных недостатков он меня устраивает. Буду ли я брать следующий смартфон от мейзу? - Однозначно нет, поскольку производитель забивает на своих пользователей почти сразу после покупки и не выпускает обновления ПО.,",Отрицательный,Обновления программного обеспечения
"Немного непривычна оболочка поначалу была. Через неделю привык. Версия международная (G). На всех прошивках проблем никаких (повезло наверно). На данный момент никакого другого телефона не хочу. Нравится по всем критериям. Из-за камеры ставлю 4. А так -5.,",Позитивный,Опыт использования устройства
"Купил неделю назад, выбирал 3 месяца. ИТОГ - взял росстест - дорого,но снялись проблемы с прошивкой, на текущий момент - - - ссу кипятком! Скорость, экран, функционал - сейчас ВООбще не понимаю как можно без ЭТОЙ кнопки пользоваться телефоном. Заменил планшет полностью (по дороге на работу ютуб, вк, и т.д. Оператор ЙОТА 4Г работает отлично),",Позитивный,Оценка качества и функционала устройства
"Meizu Pro 5 4/64 первые впечатления после 3 дней использования:  1. Экран, лучше бы оставили IPS, возможно привыкну. На redmi note 2 нравиться больше. 2. Музыка, да нормально, но Flac поддержка только платно. На иных приложениях ""танцы"". 3. Аккумулятор хорошо но не отлично. Думаю с быстрой зарядкой скоро придётся менять АКБ. 4. Flyme ооо зачем столько версий? Ради региональных дилеров? Глупость. 5. Стекло переднее лучше бы оставили как на MX5, зачем этот iPhone 2.5D? 6. Закрытый загрузчик, мне кажется глупо. Аппарат хороший, но выбор не оставили. 7. Комплектные наушники, хорошие, но высокие срезаны в пользу низких. 8. Отпечаток пальца, хорошо работает, но только 5 копий, не правильно. Что бы всегда срабатывал я сделал пять копий одного пальца. Нет ошибок. 9. Звук в разговорном динамике какой то холодный, но громкий. 10. Темы, приложения, Flyme account, оплата почти не возможна. Много возни. Хотел активировать Flac. 11. Комплектный провод usb type c, не хороший. Заказал другой. 12. Коробка странная с крышкой, как квадратная кастрюля. 13. К чему ещё придраться, не вижу. 14. Проверил все версии flyme, все же вернулся на 4.5, мне кажется лучший вариант. Новый 5.1.3. не понравился, какие то дерганья и странности, 5.1.2 из 5 версии лучший. Буду рад если в чем то я не прав, и мне кто нибудь подскажет как иначе.,",Нейтральный с уклоном в негатив,Оценка качества устройства и операционной системы
"Китайцы постарались. Телефон выглядит хорошо, на него обращают внимание. Из плюсов. До этого были яблоко 5s, oneplus one и two. С покупкой мейзу забыл о внешнем аккумуляторе совсем. Как бы я его не использовал, еще ни разу не удавалось посадить его в течение одного рабочего дня. Телефон при этом тонкий, хорошо лежит в руке(были мысли, что 5,7 дюймов это перебор). По поводу отдельного аудиочипа уже много сказано. Flyme работает быстро и без нареканий, ни разу не было с ним проблем, таких, как , например на oneplus. Это скорее ios, нежели андроид. Из минусов : Спорный момент - закругленное 2.5D стекло. Привык ходить с защитным стеклом на телефоне, но тут абы какое не подходит. Из-за закругленного стекла остаются непроклеенные места по краям. Сейчас с ebayя едет ""правильное"" стекло. В Питере в наличие такого не оказалось. Также к минусам можно отнести камеру. Про нее тоже многое сказано. Она действительно не дотягивает до уровня флагмана, как тыльная , так и фронтальная. Довольно распространенная проблема телефона-заводской брак с интернетом (около 10 % , если верить опросу на 4pda). Сам с этим столкнулся , но телефон в сервисе поменяли на следующий день. В целом телефоном более, чем доволен.,",Позитивный,Опыт эксплуатации и качество устройства
"пользуюсь долго. еще ни одного косяка не было meizu молодцы если что то не нравится в новой ОС можно откатить на старую не то что у самсунга и айфонов это уже 2й мой meizu раньше были самсунги, айфоны, LG и прочая шляпа. после того как попользовал мх4 мне жутко загорелось взять про5 и не прогадал. както сменил свой про5 на самсунг с6 так ну нафиг эти самсунги. В общем кому нужна нормальная камера (не отличная), Отличная автономность 7-8ч экрана, призводительность мой 3/32 в антуту около 110 000 набрал, и просто приятный телефон то берите),",Позитивный,"Опыт использования телефона Meizu, преимущества модели"
"До этого телефона пользовался Xiaomi redmi note 4x. Продал его , надоели обновления ,от которых только хуже. Преимуществом leeco считаю камеру - быстро фотографирует и качество снимков лучше ,чем на сяоми, сочный и яркий экран , батарея держит чуть хуже ,чем сяоми, и самое главное - стабильно ловит связь и мобильный интернет там где сяоми ничего не ловит, wi-fi ловит хуже. Телефон взял на время , а сейчас думаю оставить на постоянно. К оболочке привыкаешь. В игры не играю. Считаю что сбалансированный телефон для повседневного пользования .,",Позитивный,Оценка характеристик и преимуществ телефона LeEco
"Это отличный смартфон за эти деньги! Заказывал из Китая за 8 тыс. Мне нравится даже больше чем Xiaomi, которые дороже.,",Позитивный,Оценка качества смартфона
"В общем, ультрабюджетная цена на полуфлагманское железо. Разочаровали тем, что нет черного цвета на переднюю панель, так бы не было рамок, то есть их было бы не видно, и было бы шикарно. Type-C это топово. 8/10, снизил из-за отсутствия мини-джека и из-за рамок, к которым очень легко привыкнуть, но всё же это не красиво.,",Смешанный,Дизайн и технические характеристики устройства
"в антуту набирает 81000 попугаев, этой производительности хватает за глаза, даже не знаю во что в 2107 можно поиграть -_- зарядку держит от 1 до 2 дней (играю в игры, слушаю музыку, сижу в вк/инстаграмме и тд) телефон очень понравился, как внешний вид, так и его начинка и софт. прошивка индийская 17s, русский переведен на 99%. покупал на алиэкспрессе за 9к. рекомендую.,",Позитивный,Оценка характеристик смартфона
"Я считаю что это один из лучших бюджетников которых можно купить за такую низкую цену по соотношению цена - качество. Подведя итог можно сказать что телефон даже не смотря на свои недостатки, стоит каждого потраченного на него рубля. Итог 4 из 5.,",Позитивный,Оценка телефона
"Пользуюсь телефоном больше года с лета 2017, посмотрел новинки (ноябрь 2018) и понял, что лучше данного телефона за эту цену никто не выпустил. Другие стоят в 2 раза дороже,",Позитивный,Цена-качество
"хорошо только первое время 4-6 мес, а после из за амортизации становится невыносимым, камера уже не та, особенно выбешивает неудалаяемый браузер, котрый не работает, но все равно пытается открывать и потом насильно на экран выводит просьбу о написании отчета в компанию !,",Отрицательный,Недостатки продукта
"За свои деньги очень хороший смартфон, из китая он достанется вам за 7к с копейками. Лучшего варианта за такую цену, с таким железом не найти. Аналог с более качественной прошивкой и остальными плюхами выйдет вам в минимум 11-15к.,",Позитивный,Цена-качество смартфона
"Может быть при нынешней цене и ничего, но не стал бы. Что китайцы намутили с камерами, я не знаю. Я брал его в подарок девочке, любящей селфи...Столько запоротых фото из поездки она ещё не привозила. Фронтальная камера - злейшее зло, ужасная дисторсия. Теоретически, камера широкоугольная и вся картинка должна быть в фокусе, но нет, далее 30 см - уродское мыло, нет, не красивое боке, а именно уродское мыло. Основная камера тоже разочаровывает: там какой-то хитрый алгоритм обработки фото, что если снимаешь человека около большого наклонного объекта, то человека вытягивает вдоль линии наклона этого объекта. Все, конечно, выглядят гораздо стройнее, только геометрия искажена. Мягкий корпус рвёт защитное стекло, хотя телефон не роняли уже несколько трещин. Ну а так, звонит, в инет выходит, как и любой другой телефон. Камеру сравниваю не с чем-то волшебным, а с Asus Zenfone 2, в котором обе камеры в разы лучше, хотя по характеристикам они вроде бы и вообще на разном уровне.,",Отрицательный,Камера
"как-то откровенно деградирует линейка redmi,",Отрицательная,Деградация линейки Redmi
"- в игры особо не играю, но что пробовала, все работало без проблем - батарея обычная, когда начала пользоваться, кажется, хватало дня на полтора активного использования (сейчас ему почти два года, батарейка уже скатилась, думаю менять, потому что с труд",Нейтральный,Работа устройства
"Неплохой добротный смартфон от толкового производителя,",Позитивный,Оценка качества смартфона
"Причина виде недостатка nano сим карты ,потому-что их из-за не внимательности можно легко потерять .,",Отрицательный,Недостатки продукта
"Без ёмкости в 5000 такое пользовать невозможно.,",Отрицательный,Ёмкость аккумулятора
"Отличный аппарат, за эти (9800р) деньги.,",Позитивный,Цена-качество
"Отдал телефон Маме :) Прекрасно работает, не глючит после моих насильственных действий. З.Ы. Телефон со временем стал Меньше разряжаться, видать батарее надо было ""разогнаться"", но в любом случае батарейка слабовата...,",Позитивный,Качество
"В целом телефон прекрасен за свои деньги. Быстрый, хорошо держит заряд батареи, определяет местоположение, навигатор работает на ура, лёгкий, тонкий. Огромное количество приложений, документов и фотографий влезает. Первое, что напрягло, это его регулярное выключение. Он просто брал и выключался просто лёжа на столе. Проблема ушла, как только я заменила сим карту. Далее камера, это конечно плохо. Добиться резкости от неё очень трудно, всё мылит. Видео в жутким искажением звука. Может я такая везучая, а может это у всех но: заряжается он на 100% только от родной зарядки. Пробовала любой другой с mini usb, но через пол дня батарея на нуле. С родной всё отлично, 1,5-2 дня если только по делу. Экран имеет 3 режима работы с преобладанием разных цветов. Меня раздражают все режимы, искажают истенные цвета на фотографии, затемняют её. Я работаю с большим количеством фотографий и для меня это оказалось большой проблемой. Решаю просто: просмотр и редактирование без естественного света, но так всё более-менее. Часто ""ломается"" геолокация. Это говорит о том, что телефон устал:) Перезагрузка я всегда помогает. В целом телефон на 4),",Смешанный,Оценка качества телефона
"Пользуюсь более года. Замечательный смартфон, за исключением ёмкости акб. При использовании блютус-гарнитуры, вай-фая, постоянных звонках, работы в мессенджерах батареи хватает часа на 3-4.,",Отрицательный,Ёмкость аккумулятора
"А так вполне прекрасный телефон. Просто отличный!,",Позитивный,Оценка качества телефона
"Покупкой доволен.,",Позитивный,Покупка/довольство
"Для своей цены отличный телефон, пользуюсь почти два года. Кроме того, что перестал работать отпечаток пальца нареканий нет,",Позитивный,Функциональность и качество телефона
"Смартфонов ""через меня"" прошло много. Ремонтировал, перепрошивал - много, пользовался - не меньше, а потому есть с чем сравнивать и могу адекватно это сделать. Достойный, очень достойный бюджетный смарт, с большими объемами памяти, за низкую цену и отличной прошивкой. Рекомендую. 4 звездочки только за дисплей не Full HD. Хотя и этот яркий и не зернит. Аппарат очень шустрый, без тормозов - памяти хватает , процессор тянет как надо, батарейка не жрется. Я, например, нужные приложения, для моментального запуска, из памяти не выгружаю , а это 8-9 приложений. И памяти хватает на все. В браузере по 10 вкладок не закрываю. Параллельно слушаю музыку, переключаюсь на другие приложения и ничего не вылетает и не сворачивается... Рекомендую, двумя руками.  Я не ""фанат"" Сяоми, просто аппарат реально классный. За такие деньги лучше не найти. И не пытайтесь.,",Позитивный,Оценка качества смартфона
"В пользовании 1.5 месяца. Телефон покупали в подарок женщине. Он ей очень понравился. Удобен для её небольших рук. Есть огромное количество чехлов и других аксессуаров под эту модель. За свою цену просто отличное качество.,",Позитивный,Оценка качества телефона
"В телефонах я делаю акцент именно на объём памяти, поэтому наличие версии на 4/64 Гб очень радует. До этого у меня была версия этой модели на 2/16, поэтому я скажу вам пару интересных моментов. Экран такой же. 5,5 HD с нормальной цветопередачей. Шрифты не рыхлые, глаза не изливаются кровью. Камеры такие же. Основная снимает так себе, а вот фронтальная, наоборот, приятно удивляет. Производительность разная. В 2/16 стоит 425 Snap с откровенно слабым Adreno 308. А в 4/64 уже 435 Snap с неплохим Adreno 505. Ёмкость батареи такая же, но 2/16 держит заряд на 10-15 % лучше. С чем это связано - незнаю. В 4/64 есть сканер отпечатка, а в 2/16 - нет. Это премиальная фича, знаете ли. Сканер довольно быстрый, но немного уступает Oneplus. Есть возможность использовать одновременно 2 сим-карты и карту памяти. Что сказать в итоге... Конечно, выгоднее брать версию на 4/64, т.к. это более сбалансированный вариант и по цене и по железу. Но покупать этот телефон стоит только в цене до 10 тыс. Если он будет стоит дороже - то смысла нет. Есть конкуренты от тех же Xiaomi - Redmi 5 и 5 plus. Они лучше по всем параметрам и я бы рекомендовал покупать именно их. Но самый лучший вариант - Redmi Note 5 4/64. Есть версия 6/64, но это пустая переплата денег. Это очень крутой телефон и его без проблем можно купить за 14-15 тыс. Он рвёт Note 5A на куски,",Положительный,Сравнение характеристик телефонов
"В целом телефон неплохой, стоит своих денег. Чуть больше чем через полгода начал очень сильно лагать. Возможно, помог бы сброс до заводских настроек, но за такую цену запариваться не хочется, к тому же он треснул через 3 месяца использования, хотя на нем была защитная пленка и упал он не сильно. Не рекомендую к покупке, у Xiaomi есть варианты получше в той же ценовой категории.,",Отрицательный,Качество
"В последнее время стал странно себя вести. Заряжается только от 2-х зарядок, причем не родных. Перепробовал многие. Похоже, что просто не заряжается при слабом токе. p.s. Разобрался в проблеме. Телефон пару раз падал, отвалились провода зарядки внутри корпуса, на сервисе мне их пропаяли, теперь без проблем.,",Нейтральный,Проблема с зарядкой телефона
"В целом - аппаратом доволен - тонкий, стильный, изящный, много памяти,",Позитивный,Внешний вид и технические характеристики устройства
"За цену 8500 шикарный телефон.,",Позитивный,Цена-качество
"Первые дни после покупки в руке ощущался как ультрабюджетник (непривычно после металлического корпуса), но потом ощущения замечательные - лёгкий, удобный, задняя крышка приятная наощупь. В целом, после Asus ZenFone 3 laser только положительные эмоции от использования. Прям не нарадуюсь приобретению этого аппарата.,",Позитивный,Первое впечатление и впечатления от использования смартфона
"Это мой третий подряд флагман LG, до этого был P990, потом LG G2. Очень быстро определяет свои координаты, через одну-две секунды после включения навигатора. Почему-то заряжается от автомобильной зарядки намного быстрее, чем G2, практически как от сети. Кто понимает - тест Benchmark показывает, если не ошибаюсь, около 135000. Не путать с версией для России! Насчет того, что разъем зарядки Type-C, можно не беспокоиться, кабели по почте стоят 120 руб. LG G2, - предыдущий телефон, стал сильно глючить после того, как через 2,5 года эксплуатации я его уронил на асфальт 3 раза подряд (экран целый). До этого претензий не было. А тут стал плохо работать GPS, и аккумулятор резко сдал, даже несмотря на замену аккумулятора. При этом, стекло экрана как новое, несмотря на то, что носил в кармане джинсов с монетками или ключами.,",Позитивный,Опыт использования телефона LG
"Отличный аппарат.,",Позитивный,Аппарат
"Впечатления положительные телефон очень рекомендую дажк не смотря на более новые модели,",Позитивный,Рекомендация телефона
"За свои деньги это лучший вариант для покупки!,",Позитивный,Оценка стоимости
"Перешел с lg g3. По ощущениям - хороший апгрейд. Дисплей стал ярче, звук громче и качественнее. Скорость раза в 3 увеличилась. Очень рад покупке.  Прошло пол года. Телефон продолжает только радовать. Камеры снимают идеально. Аккумулятор держит стабильно 1.5 дня. Пришло обновление до 7 андройда.,",Позитивный,Опыт использования телефона
"Аппарат хороший,стоимость по сравнению с другими почти на 10 тыс. меньше. Советую покупать.,",Позитивный,Стоимость и качество аппарата
"Удобный девайс, в руке лежит отлично. У меня еще ксаоми ми5 128 вот там действительно ЭКРАН сочный, яркий... лыжа ему в подмётки не годится... и ещё может кто объяснит, ну зачем после сканера пальца водить по экрану - снимать блокировку??? Тупость!!! Так что разочаровался в LG G5!!!,",Отрицательный,Разочарование качеством продукта
"В целом аппаратом очень доволен, обошелся с доставкой из штатов в районе 32 т.р. Модульность в смартфоне представлена довольно не удобно, да и надо ли оно?-мне нет, я за цельнометаллический корпус и влаго- пылезащиту.,",Нейтральный,Функциональность и дизайн смартфона
"сменил g3 корейца, на g5 корейца эта линейка самая шикарная, куда уже выше скакать, в 2017 году уже как четвертый год пользовался g3, и то с руками оторвали когда продавал тоже будет и с этой лыжиной главное se не брать, это не то уже  камеры отличные, экран отличный, многие пишут про батарею - как у хорошего смартфона батарея,",Позитивный,Оценка качества и характеристик смартфона
"При покупке смущал съемный модуль, по факту я его не трогаю, он сидит монолитно в корпусе.,",Нейтральный,Функциональность продукта
"Харэ народ обманывать. 3 балла и не выше,",Отрицательная,Оценка качества
"пользовался полгода, возможности старого флагмана поражали, большой экран с высоким разрешением, сенсорный отпечаток, мощный процессор, который не уступал свежим середнячкам того же уровня, а то и перегонял их в чем то, отзывчивость, ик порт и возможность подключения различных модулей. однако процессор оказался очень прожорлив, новой купленной батареи в лучшем случае хватало на полдня, появилась привычка таскать с собой павербанк, стали проявляться выгорания на экране, а в конце концов чип просто отвалился, так же как и других ""счастливчиков"".,",Отрицательный,Долговечность и качество устройства
"В целом апарат не дай бог сглазить работает отлично я доволен им.Удобно держать в руке 5.3 дисплей рука крепко держит.советую.,",Позитивный,Оценка устройства
"Телефоном владею неделю, но нарадоваться не могу. Я понял, к чему теперь нужно стремиться в смартфонах - к комфорту в использовании. LG g5 выдаёт максимум. Сканер отпечатков пальцев работает на 5+, это безумно удобно, особенно, в автомобиле, т.к. не отвлекаешься на пин-код в движении. Постоянно подсвечивающиеся часы с датой и уведомлениями - это гениально, т.к. не приходится лапать каждый раз экран, чтобы глянуть время. Кстати, если телефон положить ""лицом"" вниз, то часики выключаются (т.е. экономия заряда), а как только его поднимаешь - они загораются. Широкоформатная камера - просто удобно. Эти 3 функции, которые значительно повысили комфорт использования, надеюсь, будут радовать и дальше. Аппарат работает шустро, на Солнце всё прекрасно видно, меню удобное и очень качественно настраиваемое (можно вообще оставить только экраны, как на иос). Снап 820 действительно кушает поменьше батарейку - 30 часов использования без проблем (в игры не играю, но остальное по-полной юзаю и разговоров много). Жаль, что приходится выбирать между флешкой и симкой, но это не самое страшное, хотя, блин, симка вторая нужна бывает. Не совсем понятна идея со сменными модулями, но особо не напрягает,хотя я предпочел бы цельный моноблок, но это мелочи. Дизайн, конечно, уступает моему предыдущему LG g4, но это немного иной формат, главное, что не пластик, пусть и нет кожи. Резюме: опуская крутые технические характеристики флагмана LG, скажу об ощущениях - это круто, это уютно, это комфортно, это интуитивно понятно, это быстро, это качественно, это просто, как-то само по себе. Выбирал между LG g5 и S 7, уверен, что не прогадал. Если вам нужен комфорт, быстрота и качество, Вам за LG g5! РЕКОМЕНДУЮ!,",Позитивный,Оценка смартфона LG G5
"дело в том, что это послесвечение никак не убирается. LG уверяет что это нормальное функционирование телефона. Мне вот, например, не удобно. Я считаю что это брак, а LG - нет. И что самое печальное, такая проблема не только в этой модели. Многие люди говорят об этом. Эх, если бы я знала - не покупала. очень жаль,",Отрицательный,Функциональность/качество продукта
"Отличный аппарат. Хотел было бы сказать, что дороговат, но посмотрел стоимость аналогов и язык не поворачивается... Ёмкость аккумулятора маловата для такого железа, но быстрая зарядка выручает. Про объём внутренней памяти, нашёл выход в том, что купил флешку type-c на 128 Гб и всё отлично, фильмы на флешке, музон только самый любимый в аппарате, а так пользуюсь программой, позволяющей слушать музыку онлайн. За такую стоимость, отличный аппарат.,",Позитивный,Оценка характеристик устройства
"LG - один из продуманных аппаратов на андроид. Очень приятный интерфейс, хорошая связь, нет проблем с аксессуарами из Китая. Да, всегда беру не РСТ модель, т.к. не люблю кастратов. При оценке цена/качество для меня эта модель лидер на рынке топ-моделей смартфонов. Всем рекомендую.,",Позитивный,Оценка качества смартфона
"Боялся выкинуть деньги на ветер, взяв ""серый"" телефон,но не прогадал, сэкономив значительную сумму денег по сравнению с РСТ и получив большую производительность. Работает всё корректно. Модель 860.. В комплекте быстрая зарядка, без всяких переходников, наушники довольно не плохие. Короче доволен как слон. У ""серых"" телефонов все коробки вскрывались, говорят везут отдельно телефоны и коробки что бы не платить налоги. Но при осмотре содержимого, был реально приятно удивлён: ни царапинки, наклейки на корпусе, стекле. Короче видно нулячий телефон. Может будет полезно тому, кто боится брать не РСТ. Кста, думал взять самс С7, но в ""серых"" не поддерживается samsung pay, одна из его фишек, а стеклянная задняя крышка, это ваще жесть. Хватить, намучался с сони. Как-то так,",Позитивный,Опыт покупки серого телефона
"Не было возможности поюзать этот телефон в магазине. Заказал его в виде подарка за свои деньги от жены. Когда получил, был расстроен. У меня LG g2 уже почти 3-й год. Работает как часы, недавно поменял аккумулятор и он продолжает работать. Думал что у LG не может быть эволюции назад, а нет. У этого телефона экран такой же как G2, а сам телефон на 3 мм шире и на целых 11 миллиметров длиннее. Вот зачем мне эти миллиметры, я с них информацию не получаю. Когда на него смотришь после g2 хочется ободрать эти не несущие никакого функционала обвесы. Так они еще умудрились раздуть корпус и уменьшить емкость аккумулятора...,",Отрицательный,Размер и эргономика устройства
"LG G5 пришёл на смену Nokia Lumia 1020, который честно служил много лет. В G5 экран менее чувствительный, самую малость. Очень здорово, что отвечать на звонки можно не касаясь его, просто преподнеся телефон к уху. Сам экран ips, как не странно, мне понравился больше чем amoled, интересней цвета и глаза меньше устают. С железом всё нормально. Самое удивительное это конечно камера. Основная 28 мм в плёночном эквиваленте full frame с хорошей геометрией, а другая с углом 135° это приблизительно 8-10 мм и вся эта красота в телефоне! Объектив с таким углом на зеркалку ещё поискать надо и это не fisheye, а прямой, который даёт более менее ровное изображение. Динамического диапазона матрицы вполне достаточно. Apple iPhone 7 Plus снимет тоже хорошо у него также два объектива, но второй в сторону теле с диафрагмой ?/2.8 что тоже не плохо, но не так интересно. Lumia 950 и Sony Xperia Z5 просто крутил в руках, LG тактильно приятней, в металлическом корпусе. Звук в наушниках очень достойный особенно слышна разница на треках с высокой дискретизацией. Наушники из комплекта по звуку: хорошо передают среднечастотный диапазон, звуковое поле целостное, есть конечно некоторые особенности по краям, но в целом вполне нормальные. В общем телефон со своей изюминкой, умеет порадовать.,",Позитивный,Оценка характеристик телефона LG G5
"Перешел, наконец, с Nexus 5 (тоже LG) - стала плохо работать то ли антенна, то ли модуль GSM. Прекрасно держится в руке, 5.3"" - оказалось не так много, но лопаты я не люблю. Непривычно, что в этой версии прошивки Google Now не находится слева от главного экрана. Надо заходить в меню строки Google. По умолчанию стоят некотороые приложения LG вместо Google (LG Health вместо Google Fit, почтовые клиент, музыка и т.п.). Но в целом близко к голому андроиду, к которому привык за 2 года использования Nexus 5. К сканеру пальца на задней стороне привык за день. Хорошо, что убрали оттуда кнопки громкости - держал в руках G2 и поэтому не брал "" LG G..."" до этого. Для восстановления данных удобно использовать LG Backup - через NFC или WiFi Direct переносит данные. Не думаю, что мне нужен отдельный аккумулятор - пока не понял, насколько быстро теряет заряд. Но думаю купить LG Cam Plus - модуль для камеры (4-5 т.р. в продается в РФ), и док-станцию (около 20-30$ в США).,",Нейтральный,Оценка смартфона
